iter	RMSE
0	0.7500365226
1	0.7050272133
2	0.6677385914
3	0.6402593206
4	0.600684139
5	0.576369742
6	0.5518808711
7	0.5330807685
8	0.5122499179
9	0.4817679834
10	0.4726275376
11	0.456434791
12	0.4470366412
13	0.4399230779
14	0.4234131133
15	0.4145936586
16	0.4061041449
17	0.3943863518
18	0.388732442
19	0.3798711593
20	0.3735418573
21	0.3688736158
22	0.3670712041
23	0.3626515442
24	0.357536183
25	0.3532969256
26	0.3418589263
27	0.3390271981
28	0.335217988
29	0.3315631167
30	0.3269996914
31	0.324000418
32	0.3213521441
33	0.3133643978
34	0.3109198556
35	0.3087447493
36	0.3042679075
37	0.3022993516
38	0.2965673908
39	0.2924292121
40	0.2897644225
41	0.2875972044
42	0.2857300895
43	0.281423939
44	0.2797951207
45	0.2781756187
46	0.2767528101
47	0.2732062076
48	0.271116091
49	0.2698092623
50	0.2686306545
51	0.266828148
52	0.2655666108
53	0.2645163041
54	0.2629648501
55	0.2620082305
56	0.2585013998
57	0.2575223068
58	0.2565966463
59	0.2539759901
60	0.2531327715
61	0.2502508922
62	0.2494354188
63	0.2472429846
64	0.2458747292
65	0.2451612655
66	0.2435779526
67	0.2417159745
68	0.241130625
69	0.2395506476
70	0.2390272148
