iter	Passed	Remaining
0	0	7
1	0	6
2	0	5
3	0	4
4	0	4
5	0	4
6	0	4
7	0	4
8	0	3
9	0	3
10	0	3
11	0	3
12	0	3
13	0	3
14	0	3
15	0	3
16	1	3
17	1	3
18	1	3
19	1	3
20	1	2
21	1	2
22	1	2
23	1	2
24	1	2
25	1	2
26	1	2
27	1	2
28	1	2
29	1	2
30	1	2
31	1	2
32	1	2
33	2	2
34	2	2
35	2	2
36	2	2
37	2	1
38	2	1
39	2	1
40	2	1
41	2	1
42	2	1
43	2	1
44	2	1
45	2	1
46	2	1
47	2	1
48	2	1
49	2	1
50	3	1
51	3	1
52	3	1
53	3	1
54	3	0
55	3	0
56	3	0
57	3	0
58	3	0
59	3	0
60	3	0
61	3	0
62	3	0
63	3	0
64	3	0
65	3	0
66	3	0
67	3	0
68	4	0
69	4	0
70	4	0
